Project,Amount,Type,Action
HOMESTEAD DAH KEYS GATE NORTH 60S-938260,450.0,Missing in QB,FALTA EN QB: Pago de Lennar por $450.00 (Activity: UW Warranty Directs)
HOMESTEAD DAH ST GERMAIN AKA LE JARDINE-939460,1587.51,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,587.51 (Activity: T-Plumbing-Top Out)"
HOMESTEAD DAH ST GERMAIN AKA LE JARDINE-939460,1587.51,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,587.51 (Activity: T-Plumbing-Top Out)"
HOMESTEAD DAH WILDWOOD GROVES SF-2510260,3060.98,Missing in QB,"FALTA EN QB: Pago de Lennar por $3,060.98 (Activity: T-Plumbing-Rough)"
HOMESTEAD DAH WILDWOOD GROVES SF-2510260,1583.74,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,583.74 (Activity: T-Plumbing-Top Out)"
HOMESTEAD DAH- ST GERMAIN AKA LE JARDINE - 939460,1587.51,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,587.51 (Activity: T-Plumbing-Top Out)"
HOMESTEAD DAH-KEYS GATE NORTH 40S-938460,100.0,Missing in QB,FALTA EN QB: Pago de Lennar por $100.00 (Activity: UW Warranty Directs)
HOMESTEAD DAH-ST GERMAIN AKA LE JARDINE - 939460,350.0,Missing in QB,FALTA EN QB: Pago de Lennar por $350.00 (Activity: UW Warranty Directs)
HOMESTEAD DAH-ST GERMAIN AKA LE JARDINE - 939460,1587.51,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,587.51 (Activity: T-Plumbing-Top Out)"
HOMESTEAD DAH-ST GERMAIN AKA LE JARDINE - 939460,1587.51,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,587.51 (Activity: T-Plumbing-Top Out)"
HOMESTEAD DAH-WILDWOOD GROVES SF-2510260,2043.32,Missing in QB,"FALTA EN QB: Pago de Lennar por $2,043.32 (Activity: T-Plumbing-Top Out)"
HOMESTEAD-DAH ST GERMAIN AKA LE JARDINE - 939460,1587.51,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,587.51 (Activity: T-Plumbing-Top Out)"
HOMESTEAD-DAH-KEYS GATE NORTH THS-938560,1545.09,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,545.09 (Activity: T-Plumbing-Rough)"
HOMESTEAD-DAH-KEYS GATE NORTH THS-938560,1545.09,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,545.09 (Activity: T-Plumbing-Rough)"
KEYS GATE NORTH 40S,1544.96,Extra in QB,"SOBRA EN QB: Transacción por $1,544.96 (Name: LENNAR:KEYS GATE II 40s:LOT02/02:B, Memo: 164211)"
KEYS GATE NORTH 40S,1944.61,Extra in QB,"SOBRA EN QB: Transacción por $1,944.61 (Name: LENNAR:KEYS GATE II 40s:LOT03/02:A, Memo: 164212)"
KEYS GATE NORTH 40S,100.0,Extra in QB,"SOBRA EN QB: Transacción por $100.00 (Name: LENNAR:KEYS GATE II 40s:LOT03/03:X, Memo: 164004)"
KEYS GATE NORTH 40S,1544.96,Extra in QB,"SOBRA EN QB: Transacción por $1,544.96 (Name: LENNAR:KEYS GATE II 40s:LOT02/02:B, Memo: 164211)"
KEYS GATE NORTH 40S,1944.61,Extra in QB,"SOBRA EN QB: Transacción por $1,944.61 (Name: LENNAR:KEYS GATE II 40s:LOT03/02:A, Memo: 164212)"
KEYS GATE NORTH 40S,250.0,Extra in QB,"SOBRA EN QB: Transacción por $250.00 (Name: LENNAR:KEYS GATE II 40s:LOT41/04:X, Memo: 164002)"
KEYS GATE NORTH 60S,4857.2,Extra in QB,"SOBRA EN QB: Transacción por $4,857.20 (Name: LENNAR:KEYS GATE II 60s:LOT02/18:C, Memo: 164215)"
KEYS GATE NORTH 60S,4857.2,Extra in QB,"SOBRA EN QB: Transacción por $4,857.20 (Name: LENNAR:KEYS GATE II 60s:LOT02/18:C, Memo: 164215)"
KEYS GATE NORTH 60S,523.18,Extra in QB,"SOBRA EN QB: Transacción por $523.18 (Name: LENNAR:KEYS GATE II 60s:LOT05/18:X, Memo: 163948)"
KEYS GATE NORTH 60S,1727.27,Extra in QB,"SOBRA EN QB: Transacción por $1,727.27 (Name: LENNAR:KEYS GATE II 60s:LOT10/17:B, Memo: 164217)"
KEYS GATE NORTH 60S,2067.95,Extra in QB,"SOBRA EN QB: Transacción por $2,067.95 (Name: LENNAR:KEYS GATE II 60s:LOT11/17:B, Memo: 164218)"
KEYS GATE NORTH 60S,2067.95,Extra in QB,"SOBRA EN QB: Transacción por $2,067.95 (Name: LENNAR:KEYS GATE II 60s:LOT11/17:B, Memo: 164218)"
KEYS GATE NORTH 60S,450.0,Extra in QB,"SOBRA EN QB: Transacción por $450.00 (Name: LENNAR:KEYS GATE II 60s:LOT18/19:X, Memo: 163997)"
KEYS GATE NORTH THS,334.81,Extra in QB,"SOBRA EN QB: Transacción por $334.81 (Name: LENNAR:KEYS GATE II TH:BLD116Q(01-07):X, Memo: 163920)"
KEYS GATE NORTH THS,168.81,Extra in QB,"SOBRA EN QB: Transacción por $168.81 (Name: LENNAR:KEYS GATE II TH:BLD116Q(01-07):X, Memo: 163921)"
KEYS GATE NORTH THS,12360.72,Extra in QB,"SOBRA EN QB: Transacción por $12,360.72 (Name: LENNAR:KEYS GATE II TH:BLD119T(01-08):A, Memo: 164220)"
KOLTER VILLAS,36124.84,Extra in QB,"SOBRA EN QB: Transacción por $36,124.84 (Name: LENNAR:KOLTER-ANTILLIA VILLA:BLD03(01-12):C, Memo: 164206)"
KOLTER VILLAS,21622.44,Extra in QB,"SOBRA EN QB: Transacción por $21,622.44 (Name: LENNAR:KOLTER-ANTILLIA VILLA:BLD25(01-12):A, Memo: 164207)"
LE JARDINE,350.0,Extra in QB,"SOBRA EN QB: Transacción por $350.00 (Name: LENNAR:ST GERMAIN VILLAS:BLD024(09-16):X, Memo: 164001)"
LE JARDINE,12469.17,Extra in QB,"SOBRA EN QB: Transacción por $12,469.17 (Name: LENNAR:ST GERMAIN VILLAS:BLD040(01-08):B, Memo: 164221)"
LENDLEASE VILLAS,79321.44,Extra in QB,"SOBRA EN QB: Transacción por $79,321.44 (Name: LENNAR:LENDLEASE VILLAS (CASITAS):BLD01(1A-6F):B, Memo: 164205)"
MIAMI DAH - SOLSTICE TH-2511360,3359.81,Missing in QB,"FALTA EN QB: Pago de Lennar por $3,359.81 (Activity: T-Plumbing-Rough)"
MIAMI DAH BREEZEWOOD VILLAS - 2511260,1497.48,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,497.48 (Activity: T-Plumbing-Rough)"
MIAMI DAH BREEZEWOOD VILLAS - 2511260,1497.48,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,497.48 (Activity: T-Plumbing-Rough)"
MIAMI DAH BREEZEWOOD VILLAS 2511260,1588.65,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,588.65 (Activity: T-Plumbing-Rough)"
MIAMI DAH BRIARCREST SF-2513360,2061.91,Missing in QB,"FALTA EN QB: Pago de Lennar por $2,061.91 (Activity: T-Plumbing-Top Out)"
MIAMI DAH BRIARCREST SF-2513360,2061.91,Missing in QB,"FALTA EN QB: Pago de Lennar por $2,061.91 (Activity: T-Plumbing-Top Out)"
MIAMI DAH SOLSTICE TH-2511360,157.85,Missing in QB,FALTA EN QB: Pago de Lennar por $157.85 (Activity: T-Plumbing-Top Out)
MIAMI DAH SOLSTICE TH-2511360,1447.75,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,447.75 (Activity: T-Plumbing-Top Out)"
MIAMI DAH VIVANT 2510660,1902.65,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,902.65 (Activity: T-Plumbing-Rough)"
MIAMI DAH VIVANT 2510660,1811.48,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,811.48 (Activity: T-Plumbing-Rough)"
MIAMI DAH-BRIARCREST SF-2513360,1678.68,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,678.68 (Activity: T-Plumbing-Top Out)"
